roll_no,name,email,gender,contact,dob,address
,,,,,,
1,Amit Ragji,amit@gmail.com,Male,1234567890,12-08-2001,"Mumbai

"
,,,,,,
2,Parth Kadam,parth78@gmail.com,Male,1234560789,05-11-2001,"Thane




"
,,,,,,
4,Amit Yadav,amit23@gmail.com,Male,7891078910,18-07-2001,"Thane


"
,,,,,,
6,Disha Bhagwat,disha@gmail.com,Female,7788994455,14-05-2000,"Mulund
"
,,,,,,
3,Akash Sharma,akash3@gmail.com,Male,5426521324,06-12-2001,"Panvel
"
,,,,,,
5,Prasad Satam,praddy@gmail.com,Male,1546165621,16-08-2001,"Thane


"
,,,,,,
7,Gaurav Singh,gaurav@gmail.com,Male,5522776611,10-09-2001,"Vashi
"
,,,,,,
8,Riddhie Patel,riddhie@gmail.com,Female,1452367539,26-04-2000,"Dadar
"
,,,,,,
9,Payal kadam,payal@gmail.com,Female,1591591590,25-10-2001,"Turbhe
"
,,,,,,
10,Pooja Gupta,pooja@gmail.com,Female,8879542611,15-12-2001,"Dadar
"
,,,,,,
11,Rahul Singh,rahul@gmail.com,Male,7925616231,20-10-2000,"Bhandup
"
,,,,,,
12,Sachi Yadav,sachi@gmail.com,Female,1459763232,14-03-2001,"Matunga
"
,,,,,,
15,abc,abc@gmail.com,Male,8545652545,12-05-2001,"Thane
"
